timestamp,position,altitude,heading
19170,"55.70822133083716,39.07341951894683",18900,246
19176,"55.704917633821815,39.06020743475153",18750,246
19182,"55.701628207375265,39.04706028922055",18600,246
19188,"55.69835307208441,39.033978051040435",18450,246
19194,"55.69509224842832,39.02096068903907",18300,246
19200,"55.69184575677839,39.00800817218588",18150,246
19206,"55.68861361739846,38.99512046959191",18000,246
19212,"55.68539585044493,38.98229755051",17850,246
19218,"55.68219247596693,38.96953938433492",17700,246
19224,"55.679003513906416,38.95684594060349",17550,246
19230,"55.67582898409835,38.94421718899475",17400,246
19236,"55.672668906270815,38.93165309933007",17250,245
19242,"55.66952330004514,38.91915364157327",17100,245
19248,"55.666392184936015,38.90671878583079",16950,245
19254,"55.663275580351666,38.89434850235178",16800,245
19260,"55.66017350559397,38.88204276152829",16650,245
19266,"55.657085979858536,38.86980153389533",16500,245
19272,"55.65401302223492,38.857624790131034",16350,245
19278,"55.65095465170671,38.8455125010568",16200,245
19284,"55.64791088715163,38.83346463763736",16050,245
19290,"55.64488174734173,38.82148117098098",15900,245
19296,"55.641867250943434,38.8095620723395",15750,245
19302,"55.63886741651774,38.79770731310854",15600,245
19308,"55.635882262520326,38.78591686482753",15450,245
19314,"55.632911807301646,38.774190699179904",15300,245
19320,"55.629956069107045,38.76252878799319",15150,245
19326,"55.62701506607697,38.75093110323912",15000,245
19332,"55.624088816246996,38.73939761703374",14850,245
19338,"55.62117733754799,38.72792830163753",14700,245
19344,"55.61828064780625,38.71652312945556",14550,245
19350,"55.61539876474359,38.70518207303752",14400,245
19356,"55.61253170597748,38.693905105077896",14250,245
19362,"55.60967948902116,38.68269219841605",14100,245
19368,"55.60684213128378,38.67154332603632",13950,245
19374,"55.60401965007046,38.66045846106818",13800,245
19380,"55.60121206258252,38.64943757678627",13650,245
19386,"55.59841938591746,38.63848064661056",13500,245
19392,"55.595641637069164,38.62758764410641",13350,245
19398,"55.59287883292802,38.61675854298474",13200,245
19404,"55.59013099028098,38.60599331710205",13050,245
19410,"55.587398125811724,38.59529194046056",12900,245
19416,"55.584680256100754,38.58465438720834",12750,245
19422,"55.58197739762551,38.57408063163933",12600,245
19428,"55.579289566760494,38.56357064819354",12450,245
19434,"55.57661677977734,38.553124411457034",12300,245
19440,"55.573959052845,38.54274189616212",12150,245
19446,"55.57131640202977,38.53242307718741",12000,245
19452,"55.56868884329549,38.52216792955788",11850,245
19458,"55.566076392503554,38.51197642844501",11700,245
19464,"55.563479065413105,38.50184854916686",11550,245
19470,"55.560896877681095,38.49178426718815",11400,245
19476,"55.55832984486241,38.48178355812039",11250,245
19482,"55.55577798241,38.4718463977219",11100,245
19488,"55.55324130567492,38.46197276189795",10950,245
19494,"55.5507198299065,38.452162626700826",10800,245
19500,"55.54821357025242,38.44241596832995",10650,245
19506,"55.54572254175882,38.43273276313189",10500,245
19512,"55.543246759370405,38.42311298760053",10350,245
19518,"55.54078623793055,38.4135566183771",10200,245
19524,"55.5383409921814,38.40406363225027",10050,245
19530,"55.535911036763956,38.39463400615623",9900,245
19536,"55.53349638621822,38.385267717178785",9750,245
19542,"55.53109705498322,38.375964742549414",9600,245
19548,"55.528713057397226,38.36672505964736",9450,245
19554,"55.52634440769773,38.35754864599971",9300,245
19560,"55.5239911200216,38.34843547928145",9150,245
19566,"55.52165320840519,38.33938553731559",9000,245
19572,"55.51933068678441,38.33039879807319",8850,245
19578,"55.51702356899482,38.32147523967344",8700,245
19584,"55.51473186877179,38.312614840383766",8550,245
19590,"55.51245559975047,38.30381757861987",8400,245
19596,"55.510194775466005,38.295083432945816",8250,245
19602,"55.5079494093536,38.286412382074104",8100,245
19608,"55.505719514748534,38.27780440486573",7950,245
19614,"55.50350510488637,38.26925948033027",7800,245
19620,"55.50130619290298,38.26077758762592",7650,245
19626,"55.499122791834615,38.252358706059596",7500,245
19632,"55.49695491461807,38.24400281508699",7350,245
19638,"55.494802574090706,38.23570989431264",7200,245
19644,"55.492665782990585,38.22747992348999",7050,245
19650,"55.490544553956525,38.21931288252142",6900,245
19656,"55.48843889952821,38.2112087514584",6750,245
19662,"55.48634883214628,38.20316751050145",6600,245
19668,"55.484274364152384,38.19518914000029",6450,245
19674,"55.48221550778931,38.18727362045382",6300,245
19680,"55.48017227520103,38.17942093251027",6150,245
19686,"55.47814467843283,38.171631056967186",6000,245
19692,"55.47613272943135,38.16390397477152",5850,245
19698,"55.4741364400447,38.1562396670197",5700,245
19704,"55.47215582202253,38.148638114957656",5550,245
19710,"55.4701908870161,38.1410992999809",5400,245
19716,"55.46824164657837,38.1336232036346",5250,245
19722,"55.46630811216411,38.126209807613584",5100,245
19728,"55.4643902951299,38.11885909376246",4950,245
19734,"55.46248820673434,38.11157104407561",4800,245
19740,"55.460601858137984,38.10434564069727",4650,245
19746,"55.45873126040352,38.09718286592162",4500,245
19752,"55.45687642449582,38.09008270219276",4350,245
19758,"55.45503736128196,38.08304513210482",4200,245
19764,"55.45321408153142,38.07607013840201",4050,245
19770,"55.45140659591605,38.06915770397863",3900,245
19776,"55.44961491501016,38.06230781187918",3750,245
19782,"55.44783904929065,38.055520445298335",3600,245
19788,"55.44607900913703,38.04879558758106",3450,245
19794,"55.444334804831534,38.04213322222264",3300,245
19800,"55.44260644655911,38.03553333286869",3150,245
19806,"55.440893944407634,38.02899590331527",3000,245
19812,"55.43919730836784,38.02252091750887",2850,245
19818,"55.43751654833347,38.01610835954647",2700,245
19824,"55.43585167410132,38.00975821367564",2550,245
19830,"55.43420269537131,38.00347046429449",2400,245
19836,"55.432569621746545,37.99724509595179",2250,245
19842,"55.43095246273341,37.99108209334699",2100,245
19848,"55.429351227741584,37.98498144133025",1950,245
19854,"55.42776592608417,37.978943124902486",1800,245
19860,"55.426196566977715,37.97296712921545",1650,245
19866,"55.4246431595423,37.96705343957169",1500,245
19872,"55.42310571280159,37.96120204142469",1350,245
19878,"55.42158423568291,37.95541292037883",1200,245
19884,"55.42007873701725,37.949686062189464",1050,245
19890,"55.418589225539456,37.944021452762954",900,245
19896,"55.41711570988817,37.9384190781567",750,245
19902,"55.415658198605925,37.93287892457919",600,245
19908,"55.414216700139235,37.927400978390025",450,245
19914,"55.41279122283863,37.921985226099956",300,245
19920,"55.41138177495869,37.91663165437093",150,245
19926,"55.40998836465817,37.91134025001614",0,245
